"ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd.pledged","usd_pledged_real","usd_goal_real"
501920543,"Str8 Outta Charlotte","Documentary","Film & Video","USD","2011-11-01",1000,"2011-09-17 23:42:10",0,"failed",0,"US",0,0,1000
1135970388,"Stop-Motion animations","Animation","Film & Video","EUR","2016-05-10",2300,"2016-04-15 06:37:07",131,"failed",7,"FR",147.59,148.66,2610.05
44122542,"The Mountain Music Project - Documentary Film and CD","World Music","Music","USD","2011-12-29",6000,"2011-11-14 14:13:54",7417.1,"successful",112,"US",7417.1,7417.1,6000
538105628,"Akimenko Meats, Bringing Locally and Sustainably Raised Meats to Our Community ","Food","Food","USD","2010-06-15",15000,"2010-03-17 22:08:05",16405,"successful",201,"US",16405,16405,15000
610053750,"Keep God Out Of Texas","Art","Art","USD","2016-03-11",1112,"2016-02-26 23:29:07",58,"failed",5,"US",58,58,1112
775420896,"Piano on 24th - Solo Piano by Jay Frost","Music","Music","USD","2015-12-01",2400,"2015-11-03 21:09:31",2602,"undefined",0,"N,0""",NA,2602,2400
1040978199,"2014-2015 Intercollegiate Fundraiser for Polo Balls!","Live Games","Games","USD","2014-07-12",8986,"2014-06-12 16:38:51",800,"failed",6,"US",800,800,8986
209482067,"PICMO - Picture + Promo smartphone app","Technology","Technology","USD","2012-09-16",6500,"2012-08-17 21:13:52",1703,"failed",36,"US",1703,1703,6500
1112281872,"Richard Katz: The new RECORD and WORLD TOUR (Canceled)","Rock","Music","USD","2012-08-06",5000,"2012-07-07 17:35:22",100,"canceled",5,"US",100,100,5000
2098583363,"TREMORS FIGURES, Fan Made by Beast Toys","Product Design","Design","USD","2016-10-31",15000,"2016-10-01 01:14:30",668,"canceled",6,"US",566,668,15000
1203369546,"Brain Melt Consortium Presents a Staged Reading of Daughters of Lot","Theater","Theater","USD","2010-10-31",750,"2010-09-14 00:13:15",1326.88,"successful",20,"US",1326.88,1326.88,750
1308519390,"My Dream Recording Studio","Music","Music","GBP","2014-09-24",30000,"2014-07-28 13:25:48",21,"failed",1,"GB",35.65,34.25,48925.27
